week,service
1,surgery
1,general_medicine
2,emergency
2,general_medicine
3,emergency
4,emergency
4,general_medicine
5,emergency
5,general_medicine
6,emergency
7,emergency
8,emergency
8,general_medicine
9,emergency
10,emergency
12,emergency
13,emergency
15,surgery
15,general_medicine
16,emergency
17,emergency
22,emergency
24,emergency
36,emergency
37,emergency
40,general_medicine
42,general_medicine
43,emergency
44,emergency
45,emergency
46,emergency
48,emergency
48,general_medicine
49,emergency
50,emergency
51,emergency
51,general_medicine
52,emergency
52,general_medicine
